Total PnL,Win Rate,Profit Factor,Expectancy,Sharpe Ratio,Max Drawdown,Total Trades,Winning Trades,Losing Trades,Average Win,Average Loss,Largest Win,Largest Loss,Win/Loss Ratio,Trade Type,Long Total PnL,Long Win Rate,Long Profit Factor,Long Total Trades,Long Winning Trades,Long Losing Trades,Long Average Win,Long Average Loss,Long Largest Win,Long Largest Loss,Short Total PnL,Short Win Rate,Short Profit Factor,Short Total Trades,Short Winning Trades,Short Losing Trades,Short Average Win,Short Average Loss,Short Largest Win,Short Largest Loss,Long Threshold,Short Threshold,PnL/MaxDD
490.0,0.5,1.074208693018325,0.3402777777777778,1.0234922840572438,556.0,1440,720,720,9.85138888888889,-9.170833333333333,49.0,-48.0,1.0742086930183252,all,60.0,0.5063694267515924,1.0385852090032155,314,159,155,10.157232704402515,-10.03225806451613,47.0,-48.0,430.0,0.49822380106571934,1.0851822503961965,1126,561,565,9.764705882352942,-8.934513274336283,49.0,-46.0,0.008979591836734694,0.0018367346938775511,0.8812949640287769
280.0,0.5112107623318386,1.1333333333333333,0.6278026905829597,1.0144459502162133,229.0,446,228,218,10.43859649122807,-9.63302752293578,47.0,-48.0,1.083625730994152,all,181.0,0.5137362637362637,1.103487707261292,364,187,177,10.320855614973262,-9.88135593220339,47.0,-48.0,99.0,0.5,1.2820512820512822,82,41,41,10.975609756097562,-8.560975609756097,44.0,-26.0,0.00836734693877551,0.0030612244897959186,1.222707423580786
468.0,0.503202846975089,1.0748560460652592,0.3330960854092527,1.0122847806148345,406.0,1405,707,698,9.504950495049505,-8.95702005730659,49.0,-50.0,1.0611732958324624,all,426.0,0.5040770941438102,1.0710592160133445,1349,680,669,9.44264705882353,-8.961136023916293,49.0,-50.0,42.0,0.48214285714285715,1.1634241245136188,56,27,29,11.074074074074074,-8.862068965517242,44.0,-26.0,0.004081632653061225,0.0032653061224489797,1.1527093596059113
749.0,0.4907809110629067,1.0455817916260954,0.20309110629067245,1.0095328542866782,601.0,3688,1810,1878,9.492265193370166,-8.749733759318424,50.0,-49.0,1.084863317499341,all,206.0,0.49518922386144965,1.0293071560677194,1559,772,787,9.371761658031089,-8.93138500635324,49.0,-49.0,543.0,0.48755284170972285,1.057747527384877,2129,1038,1091,9.58188824662813,-8.618698441796518,50.0,-48.0,0.0036734693877551023,0.001326530612244898,1.2462562396006656
498.0,0.49805699481865284,1.0701210926499578,0.3225388601036269,1.0022387434336657,564.0,1544,769,775,9.882964889466841,-9.163870967741936,49.0,-48.0,1.0784705420074348,all,68.0,0.49760765550239233,1.0331061343719572,418,208,210,10.201923076923077,-9.780952380952382,47.0,-48.0,430.0,0.49822380106571934,1.0851822503961965,1126,561,565,9.764705882352942,-8.934513274336283,49.0,-46.0,0.007959183673469388,0.0018367346938775511,0.8829787234042553
295.0,0.5122448979591837,1.1237935375577004,0.6020408163265306,1.0005762201497836,186.0,490,251,239,10.669322709163346,-9.97071129707113,47.0,-48.0,1.0700663564792445,all,142.0,0.5147058823529411,1.0861127956337173,340,175,165,10.234285714285715,-9.993939393939394,47.0,-48.0,144.0,0.5033112582781457,1.1938088829071332,151,76,75,11.671052631578947,-9.906666666666666,46.0,-30.0,0.008571428571428572,0.0,1.586021505376344
636.0,0.49646182495344504,1.052662084954873,0.23687150837988827,0.9970772544040323,632.0,2685,1333,1352,9.537134283570893,-8.932692307692308,49.0,-49.0,1.067666270711919,all,206.0,0.49518922386144965,1.0293071560677194,1559,772,787,9.371761658031089,-8.93138500635324,49.0,-49.0,430.0,0.49822380106571934,1.0851822503961965,1126,561,565,9.764705882352942,-8.934513274336283,49.0,-46.0,0.0036734693877551023,0.0018367346938775511,1.0063291139240507
436.0,0.5095320623916811,1.0804428044280443,0.3778162911611785,0.9950509692034637,554.0,1154,588,566,9.959183673469388,-9.575971731448764,49.0,-48.0,1.0400180736501243,all,-14.0,0.4959349593495935,0.9892966360856269,246,122,124,10.60655737704918,-10.548387096774194,47.0,-48.0,450.0,0.513215859030837,1.1094357976653697,908,466,442,9.78969957081545,-9.30316742081448,49.0,-46.0,0.009795918367346938,0.0019387755102040817,0.7870036101083032
438.0,0.5094017094017094,1.0796218869296492,0.37435897435897436,0.990998436400949,566.0,1170,596,574,9.96476510067114,-9.58362369337979,49.0,-48.0,1.0397700723114407,all,-12.0,0.4961832061068702,0.9913606911447084,262,130,132,10.592307692307692,-10.522727272727273,47.0,-48.0,450.0,0.513215859030837,1.1094357976653697,908,466,442,9.78969957081545,-9.30316742081448,49.0,-46.0,0.009591836734693878,0.0019387755102040817,0.773851590106007
570.0,0.5006922011998154,1.0581751377832211,0.26303645592985697,0.9894383799777144,459.0,2167,1085,1082,9.555760368663595,-9.055452865064694,49.0,-50.0,1.0552493079091663,all,120.0,0.49166004765687055,1.0211044671122054,1259,619,640,9.379644588045235,-8.884375,49.0,-50.0,450.0,0.513215859030837,1.1094357976653697,908,466,442,9.78969957081545,-9.30316742081448,49.0,-46.0,0.004285714285714286,0.0019387755102040817,1.2418300653594772
